Material	Material	PNF (Precio Neto Fabrica)	IEPS (Impuesto Especial sobre Producci—n y Servicios)	IVA	Precio Final
2	COCA-COLA 2.50 L RT PET 8	197.13	31.47	33.79	244.99
3	COCA-COLA 192 ML RT VID 24	154.98	7.25	23.17	168.00
6	COCA-COLA 355 ML RT VID 24	203.13	13.41	31.86	231.00
8	COCA-COLA 500 ML RT VID 24	233.86	18.88	37.65	272.99
11	COCA-COLA LIGHT 355 ML RT VID 24	216.54	0.00	31.86	231.00
14	COCA-COLA LIGHT 355 ML NR LAT 24	361.37	0.00	55.04	399.01
20	FANTA NARANJA 355 ML RT VID 24	203.13	13.41	31.86	231.00
22	FANTA NARANJA 500 ML RT VID 24	222.65	18.88	35.86	259.99
27	SPRITE 355 ML RT VID 24	203.13	13.41	31.86	231.00
30	SPRITE 500 ML RT VID 24	222.65	18.88	35.86	259.99
32	CIEL MINERALIZADA 355 ML NR LAT 24	251.45	0.00	37.45	271.50
38	COCA-COLA 1.00 L NR PET 12	206.71	18.88	33.31	241.50
39	COCA-COLA LIGHT 1.00 L NR PET 12	225.59	0.00	33.31	241.50
41	FRESCA TORONJA 355 ML RT VID 24	203.13	13.41	31.86	231.00
42	FRESCA TORONJA 500 ML RT VID 24	222.65	18.88	35.86	259.99
47	CIEL AGUA PURIF 1.50 L NR PET 12	170.40	0.00	0.00	153.00
48	CIEL AGUA PURIF 20.0 L RT PET 1	68.40	0.00	0.00	51.00
56	FANTA NARANJA 1.00 L NR PET 12	206.71	18.88	33.31	241.50
57	SPRITE 1.00 L NR PET 12	206.71	18.88	33.31	241.50
59	COCA-COLA 355 ML NR LAT 24	347.96	13.41	55.04	399.01
62	FANTA NARANJA 355 ML NR LAT 24	347.96	13.41	55.04	399.01
66	SPRITE 355 ML NR LAT 24	347.96	13.41	55.04	399.01
69	FRESCA TORONJA 355 ML NR LAT 24	347.96	13.41	55.04	399.01
70	MANZANA LIFT 355 ML NR LAT 24	347.96	13.41	55.04	399.01
75	CIEL AGUA PURIF 1.00 L NR PET 12	143.40	0.00	0.00	126.00
77	COCA-COLA 1.50 L NR PET 12	242.52	28.33	40.55	294.00
97	COCA-COLA LIGHT 600 ML NR PET 24	361.37	0.00	55.04	399.01
99	COCA-COLA 600 ML NR PET 24	338.70	22.66	55.03	398.99
103	SIDRAL MUNDET MANZ 500 ML RT VID 24	222.65	18.88	35.86	259.99
105	SIDRAL MUNDET MANZ 355 ML NR LAT 24	347.96	13.41	55.04	399.01
109	SIDRAL MUNDET MANZ 600 ML NR PET 12	178.05	11.33	#ÁREF!	#ÁREF!
110	SIDRAL MUNDET MANZ 2.50 L NR PET 8	227.31	31.47	#ÁREF!	#ÁREF!
127	COCA-COLA 600 ML NR PET 4 MPK	70.95	3.78	9.17	66.50
128	COCA-COLA LIGHT 600 ML NR PET 4 MPK	75.45	0.00	9.29	67.34
129	COCA-COLA LIGHT 355 ML NR LAT 6 MPK	103.39	0.00	13.76	99.75
132	CIEL AGUA PURIF 355 ML NR PET 24	196.40	0.00	0.00	179.00
138	CIEL AGUA PURIF 5.00 L NR PET 4	125.90	0.00	0.00	108.50
140	SPRITE ZERO 355 ML NR LAT 24	361.37	0.00	55.04	399.01
142	CIEL AGUA PURIF 600 ML NR PET 24	233.40	0.00	0.00	216.00
164	CIEL SAB JAMAICA 1.50 L NR PET 6	71.28	0.00	8.62	62.50
167	COCA-COLA 355 ML NR LAT 6 MPK	101.55	3.35	14.00	101.50
177	COCA-COLA 2.00 L NR PET 8	185.33	25.18	30.90	224.01
178	COCA-COLA LIGHT 2.00 L NR PET 8	210.50	0.00	30.90	224.00
180	COCA-COLA 1.25 L NR PET 12	192.93	23.61	31.86	231.00
200	COCA-COLA 2.00 L NR PET 2 MPK	59.38	6.29	7.72	55.99
204	FANTA NARANJA 2.50 L NR PET 8	227.31	31.47	41.40	300.18
205	SPRITE 2.50 L NR PET 8	227.31	31.47	41.40	300.18
206	FRESCA TORONJA 2.50 L NR PET 8	227.31	31.47	41.40	300.18
208	COCA-COLA 473 ML NR LAT 24	379.71	17.86	63.61	441.00
219	POWERADE MORAS 600 ML NR PET 6	124.24	5.67	0.00	112.51
220	POWERADE FRUT ROJA 600 ML NR PET 6	124.24	5.67	0.00	112.51
221	POWERADE NARMAND 600 ML NR PET 6	124.24	5.67	0.00	112.51
231	POWERADE LIMALIM 600 ML NR PET 6	124.24	5.67	0.00	112.51
232	FANTA NARANJA 2.50 L NR PET 4	122.35	15.74	19.31	140.00
